architecture,seed,run_label,metric,raw,previous_filter,single_point
L3N4,0,L3N4 s0,energy_mae,0.1997303498080699,0.1997303498080699,0.1997240411789886
L3N4,0,L3N4 s0,energy_mse,0.1186481462282223,0.1186481462282223,0.1186434267760396
L3N4,0,L3N4 s0,force_mae,0.582884143878776,0.582884143878776,0.5827516680571588
L3N4,0,L3N4 s0,force_rmse,1.2994687470283572,1.2994687470283572,1.2980738547395774
L3N4,1,L3N4 s1,energy_mae,0.2059944600831717,0.2059944600831717,0.2059920846515882
L3N4,1,L3N4 s1,energy_mse,0.1294317778858242,0.1294317778858242,0.1294314353153046
L3N4,1,L3N4 s1,force_mae,0.6041831642617682,0.5956118552443499,0.6041739060911369
L3N4,1,L3N4 s1,force_rmse,2.8360281282615443,1.3468688130921072,2.836038616465406
L3N4,7,L3N4 s7,energy_mae,0.2047021245362993,0.2047021245362993,0.2043437715172354
L3N4,7,L3N4 s7,energy_mse,0.1324329827512162,0.1324329827512162,0.1220141806570841
L3N4,7,L3N4 s7,force_mae,0.5900155144423305,0.5900155144423305,0.5867417857810487
L3N4,7,L3N4 s7,force_rmse,1.95694530956505,1.95694530956505,1.2958311740833266
L3N4,42,L3N4 s42,energy_mae,0.265648224465159,0.2300254985876023,0.2300254985876023
L3N4,42,L3N4 s42,energy_mse,101.6904750540549,0.1558001537942071,0.1558001537942071
L3N4,42,L3N4 s42,force_mae,2.3786001279911937,0.6380608837001563,0.6380608837001563
L3N4,42,L3N4 s42,force_rmse,635.9224767727965,1.3829151563668889,1.3829151563668889
L3N4,101,L3N4 s101,energy_mae,0.1994797829595918,0.1994797829595918,0.1993775601179055
L3N4,101,L3N4 s101,energy_mse,0.1200833404487482,0.1200833404487482,0.1192076110207218
L3N4,101,L3N4 s101,force_mae,0.5807663608315538,0.5807663608315538,0.5789142530506817
L3N4,101,L3N4 s101,force_rmse,1.4576801015944574,1.4576801015944574,1.2721776337777988
L3N4,202,L3N4 s202,energy_mae,0.2356515464635973,0.2316116315503979,0.2356523020996734
L3N4,202,L3N4 s202,energy_mse,1.457533985858258,0.1499908071540034,1.4575518215618253
L3N4,202,L3N4 s202,force_mae,0.6539855536744487,0.6353964747858807,0.6539698249368936
L3N4,202,L3N4 s202,force_rmse,7.698826425968153,1.369973436611725,7.698869806895959
L3N5,0,L3N5 s0,energy_mae,0.279108729916095,0.279108729916095,0.2790580983646451
L3N5,0,L3N5 s0,energy_mse,0.2105272774535213,0.2105272774535213,0.210295590121512
L3N5,0,L3N5 s0,force_mae,0.7222488466519684,0.7222488466519684,0.7216810754932185
L3N5,0,L3N5 s0,force_rmse,1.578732560834111,1.578732560834111,1.559587651667126
L3N5,1,L3N5 s1,energy_mae,0.2062262733407842,0.2062262733407842,0.2062253340065804
L3N5,1,L3N5 s1,energy_mse,0.1239375718362526,0.1239375718362526,0.1239381314348712
L3N5,1,L3N5 s1,force_mae,0.604897708594813,0.604897708594813,0.6048649555029184
L3N5,1,L3N5 s1,force_rmse,1.2933777045529309,1.2933777045529309,1.2932691320671317
L3N5,2,L3N5 s2,energy_mae,0.2711846569232875,0.2711846569232875,0.2709796131152898
L3N5,2,L3N5 s2,energy_mse,0.2029211517462087,0.2029211517462087,0.1994481645345004
L3N5,2,L3N5 s2,force_mae,0.7000906752509899,0.6985366617207188,0.6967140775142404
L3N5,2,L3N5 s2,force_rmse,2.1983157814365977,2.0974939697115653,1.6474746485073068
L3N5,3,L3N5 s3,energy_mae,0.213226483834919,0.2039465021908546,0.2039465021908546
L3N5,3,L3N5 s3,energy_mse,7.014966376423548,0.1217373934865705,0.1217373934865705
L3N5,3,L3N5 s3,force_mae,0.9543238453082752,0.5967284759097814,0.6265257485354053
L3N5,3,L3N5 s3,force_rmse,150.9771921369102,1.3116063493814425,10.36978962763662
L3N5,4,L3N5 s4,energy_mae,0.2038352158157795,0.2038352158157795,0.20383761596646
L3N5,4,L3N5 s4,energy_mse,0.1275043433123516,0.1275043433123516,0.1275059353884951
L3N5,4,L3N5 s4,force_mae,0.5974813308890118,0.5974813308890118,0.5969139734641163
L3N5,4,L3N5 s4,force_rmse,1.361007270035144,1.361007270035144,1.342844364055362
L3N5,7,L3N5 s7,energy_mae,0.2156223358498187,0.2144150969673333,0.2144150969673333
L3N5,7,L3N5 s7,energy_mse,0.2531010631806582,0.135990430353242,0.135990430353242
L3N5,7,L3N5 s7,force_mae,0.6349262734162018,0.6349262734162018,0.6279605299691444
L3N5,7,L3N5 s7,force_rmse,2.835281684442758,2.835281684442758,1.3700635174296512
L3N5,42,L3N5 s42,energy_mae,0.2081716774016153,0.2081716774016153,0.2081576147714276
L3N5,42,L3N5 s42,energy_mse,0.1271123074912649,0.1271123074912649,0.1270916794248122
L3N5,42,L3N5 s42,force_mae,0.6043628579591266,0.6043628579591266,0.6041989689571777
L3N5,42,L3N5 s42,force_rmse,1.32551206124052,1.32551206124052,1.3239194888544696
L3N5,1776,L3N5 s1776,energy_mae,0.2155521200265269,0.2150161431966091,0.21555414421102
L3N5,1776,L3N5 s1776,energy_mse,0.1803326183115709,0.1571218241167768,0.1803348365590476
L3N5,1776,L3N5 s1776,force_mae,0.653152918197432,0.6169356824593971,0.6531516829616012
L3N5,1776,L3N5 s1776,force_rmse,11.829932355929056,1.3437445947472706,11.830005805197429
L4N3,7,L4N3 s7,energy_mae,0.2070399727174197,0.2070399727174197,0.2070403336059587
L4N3,7,L4N3 s7,energy_mse,0.1306526067667396,0.1306526067667396,0.1306538431362561
L4N3,7,L4N3 s7,force_mae,0.6039136420403755,0.6039136420403755,0.6039101083993499
L4N3,7,L4N3 s7,force_rmse,1.3104834935712766,1.3104834935712766,1.3104861366740244
L4N3,42,L4N3 s42,energy_mae,0.2144393853549321,0.2144393853549321,0.2144420115206401
L4N3,42,L4N3 s42,energy_mse,0.1346713871843602,0.1346713871843602,0.1346730703613438
L4N3,42,L4N3 s42,force_mae,0.6298982761745554,0.6298982761745554,0.6299028338267697
L4N3,42,L4N3 s42,force_rmse,2.202281199338929,2.190737527087713,2.2022946789296163
L4N3,101,L4N3 s101,energy_mae,0.2188547617257631,0.2188547617257631,0.2187884790761058
L4N3,101,L4N3 s101,energy_mse,0.1417932830698768,0.1417932830698768,0.1414139774577502
L4N3,101,L4N3 s101,force_mae,0.6427452117045079,0.6427452117045079,0.6418833621567446
L4N3,101,L4N3 s101,force_rmse,1.4239952908580755,1.4239952908580755,1.3763094755452203
L4N3,202,L4N3 s202,energy_mae,0.2128986789515707,0.2121186764356976,0.2128996885291288
L4N3,202,L4N3 s202,energy_mse,0.1812932140265805,0.1322910850519378,0.1812952619766357
L4N3,202,L4N3 s202,force_mae,0.6214379529677566,0.6199392696527133,0.621436324773219
L4N3,202,L4N3 s202,force_rmse,1.4826444037790445,1.346211301473872,1.4826471900248452
L4N3,303,L4N3 s303,energy_mae,0.2149705123037216,0.2149705123037216,0.2149662883906578
L4N3,303,L4N3 s303,energy_mse,0.137794372165021,0.137794372165021,0.1377922736239737
L4N3,303,L4N3 s303,force_mae,0.6292387607715947,0.6292387607715947,0.6292283664944576
L4N3,303,L4N3 s303,force_rmse,1.3603063055622315,1.3603063055622315,1.3602963699038997
L4N3,1776,L4N3 s1776,energy_mae,0.2088974633019883,0.2088974633019883,0.2088969621978842
L4N3,1776,L4N3 s1776,energy_mse,0.1329520778812968,0.1329520778812968,0.1329529648724215
L4N3,1776,L4N3 s1776,force_mae,0.6139854113521747,0.6139854113521747,0.613983231982388
L4N3,1776,L4N3 s1776,force_rmse,1.4906635046490413,1.4906635046490413,1.4906680206678935
L4N4,0,L4N4 s0,energy_mae,0.183090003550495,0.183090003550495,0.1830890173409766
L4N4,0,L4N4 s0,energy_mse,0.1003204137184205,0.1003204137184205,0.1003208097716889
L4N4,0,L4N4 s0,force_mae,0.5445171628077453,0.5445171628077453,0.5444367673459606
L4N4,0,L4N4 s0,force_rmse,1.2228122493840694,1.2228122493840694,1.222354670935158
L4N4,7,L4N4 s7,energy_mae,0.1839046680438099,0.1839046680438099,0.1839055958615609
L4N4,7,L4N4 s7,energy_mse,0.1051018556729214,0.1051018556729214,0.105103019088898
L4N4,7,L4N4 s7,force_mae,0.5533003617275281,0.5533003617275281,0.5533015248530473
L4N4,7,L4N4 s7,force_rmse,1.272721362426923,1.272721362426923,1.2727278028599676
L4N4,42,L4N4 s42,energy_mae,0.1883172762294998,0.1883172762294998,0.1881692742461542
L4N4,42,L4N4 s42,energy_mse,0.1103499434359599,0.1103499434359599,0.1085427918073854
L4N4,42,L4N4 s42,force_mae,0.5667680229394589,0.5667680229394589,0.5647440776685151
L4N4,42,L4N4 s42,force_rmse,1.4851854471900643,1.4851854471900643,1.2583774146944813
L4N4,1776,L4N4 s1776,energy_mae,0.1819609829309745,0.1808396573442328,0.1808396573442328
L4N4,1776,L4N4 s1776,energy_mse,0.2030420503663094,0.1020476711866448,0.1020476711866448
L4N4,1776,L4N4 s1776,force_mae,0.5456845436133745,0.5456845436133745,0.5410635009270894
L4N4,1776,L4N4 s1776,force_rmse,2.478600102322565,2.478600102322565,1.222184660919629
