architecture,metric,n_runs,n_total_points,sigma,all_mean,all_sample_std,cutoff,n_outliers,outlier_fraction,mean_outlier_error,outlier_sample_std,mean_excess_over_cutoff,max_outlier_error
L3N4,energy_mae,6,480000,2.0,0.21853441471931487,4.150547692429754,8.519629799578823,13,2.7083333333333332e-05,254.76235580444336,784.5249800886354,246.2427260048645,2850.048095703125
L3N4,energy_mae,6,480000,3.0,0.21853441471931487,4.150547692429754,12.670177492008577,4,8.333333333333334e-06,805.512526512146,1370.3038505968336,792.8423490201375,2850.048095703125
L3N4,energy_mae,6,480000,4.0,0.21853441471931487,4.150547692429754,16.82072518443833,4,8.333333333333334e-06,805.512526512146,1370.3038505968336,788.6918013277077,2850.048095703125
L3N4,energy_mae,6,480000,5.0,0.21853441471931487,4.150547692429754,20.971272876868085,3,6.25e-06,1067.4484952290852,1550.7856893183778,1046.477222352217,2850.048095703125
L3N4,energy_mae,6,480000,6.0,0.21853441471931487,4.150547692429754,25.12182056929784,3,6.25e-06,1067.4484952290852,1550.7856893183778,1042.3266746597872,2850.048095703125
L3N4,energy_mae,6,480000,7.0,0.21853441471931487,4.150547692429754,29.272368261727593,2,4.166666666666667e-06,1586.7364501953125,1786.59246258102,1557.464081933585,2850.048095703125
L3N4,energy_mae,6,480000,8.0,0.21853441471931487,4.150547692429754,33.42291595415735,2,4.166666666666667e-06,1586.7364501953125,1786.59246258102,1553.3135342411551,2850.048095703125
L3N4,energy_mae,6,480000,9.0,0.21853441471931487,4.150547692429754,37.5734636465871,2,4.166666666666667e-06,1586.7364501953125,1786.59246258102,1549.1629865487253,2850.048095703125
L3N4,energy_mae,6,480000,10.0,0.21853441471931487,4.150547692429754,41.724011339016855,2,4.166666666666667e-06,1586.7364501953125,1786.59246258102,1545.0124388562958,2850.048095703125
L3N4,energy_rmse,6,480000,2.0,0.21853441471931487,4.150547692429754,8.519629799578823,13,2.7083333333333332e-05,254.76235580444336,784.5249800886354,246.2427260048645,2850.048095703125
L3N4,energy_rmse,6,480000,3.0,0.21853441471931487,4.150547692429754,12.670177492008577,4,8.333333333333334e-06,805.512526512146,1370.3038505968336,792.8423490201375,2850.048095703125
L3N4,energy_rmse,6,480000,4.0,0.21853441471931487,4.150547692429754,16.82072518443833,4,8.333333333333334e-06,805.512526512146,1370.3038505968336,788.6918013277077,2850.048095703125
L3N4,energy_rmse,6,480000,5.0,0.21853441471931487,4.150547692429754,20.971272876868085,3,6.25e-06,1067.4484952290852,1550.7856893183778,1046.477222352217,2850.048095703125
L3N4,energy_rmse,6,480000,6.0,0.21853441471931487,4.150547692429754,25.12182056929784,3,6.25e-06,1067.4484952290852,1550.7856893183778,1042.3266746597872,2850.048095703125
L3N4,energy_rmse,6,480000,7.0,0.21853441471931487,4.150547692429754,29.272368261727593,2,4.166666666666667e-06,1586.7364501953125,1786.59246258102,1557.464081933585,2850.048095703125
L3N4,energy_rmse,6,480000,8.0,0.21853441471931487,4.150547692429754,33.42291595415735,2,4.166666666666667e-06,1586.7364501953125,1786.59246258102,1553.3135342411551,2850.048095703125
L3N4,energy_rmse,6,480000,9.0,0.21853441471931487,4.150547692429754,37.5734636465871,2,4.166666666666667e-06,1586.7364501953125,1786.59246258102,1549.1629865487253,2850.048095703125
L3N4,energy_rmse,6,480000,10.0,0.21853441471931487,4.150547692429754,41.724011339016855,2,4.166666666666667e-06,1586.7364501953125,1786.59246258102,1545.0124388562958,2850.048095703125
L3N4,force_mae,6,480000,2.0,0.8984058108466784,200.99556372393587,402.8895332587184,3,6.25e-06,47100.80738025242,79799.4698477586,46697.917846993696,139243.77760416668
L3N4,force_mae,6,480000,3.0,0.8984058108466784,200.99556372393587,603.8850969826543,2,4.166666666666667e-06,70365.76965586345,97408.21298973227,69761.8845588808,139243.77760416668
L3N4,force_mae,6,480000,4.0,0.8984058108466784,200.99556372393587,804.8806607065902,2,4.166666666666667e-06,70365.76965586345,97408.21298973227,69560.88899515687,139243.77760416668
L3N4,force_mae,6,480000,5.0,0.8984058108466784,200.99556372393587,1005.8762244305261,2,4.166666666666667e-06,70365.76965586345,97408.21298973227,69359.89343143292,139243.77760416668
L3N4,force_mae,6,480000,6.0,0.8984058108466784,200.99556372393587,1206.871788154462,2,4.166666666666667e-06,70365.76965586345,97408.21298973227,69158.89786770898,139243.77760416668
L3N4,force_mae,6,480000,7.0,0.8984058108466784,200.99556372393587,1407.8673518783978,2,4.166666666666667e-06,70365.76965586345,97408.21298973227,68957.90230398504,139243.77760416668
L3N4,force_mae,6,480000,8.0,0.8984058108466784,200.99556372393587,1608.8629156023337,1,2.0833333333333334e-06,139243.77760416668,,137634.91468856434,139243.77760416668
L3N4,force_mae,6,480000,9.0,0.8984058108466784,200.99556372393587,1809.8584793262696,1,2.0833333333333334e-06,139243.77760416668,,137433.9191248404,139243.77760416668
L3N4,force_mae,6,480000,10.0,0.8984058108466784,200.99556372393587,2010.8540430502055,1,2.0833333333333334e-06,139243.77760416668,,137232.92356111648,139243.77760416668
L3N4,force_rmse,6,480000,2.0,1.1569458510229367,259.63601638560806,520.428978622239,3,6.25e-06,60898.605883551696,103031.0160208299,60378.17690492945,179865.61295243155
L3N4,force_rmse,6,480000,3.0,1.1569458510229367,259.63601638560806,780.0649950078471,2,4.166666666666667e-06,91003.91097881574,125669.42410664349,90223.84598380789,179865.61295243155
L3N4,force_rmse,6,480000,4.0,1.1569458510229367,259.63601638560806,1039.7010113934552,2,4.166666666666667e-06,91003.91097881574,125669.42410664349,89964.20996742228,179865.61295243155
L3N4,force_rmse,6,480000,5.0,1.1569458510229367,259.63601638560806,1299.3370277790632,2,4.166666666666667e-06,91003.91097881574,125669.42410664349,89704.57395103668,179865.61295243155
L3N4,force_rmse,6,480000,6.0,1.1569458510229367,259.63601638560806,1558.9730441646714,2,4.166666666666667e-06,91003.91097881574,125669.42410664349,89444.93793465107,179865.61295243155
L3N4,force_rmse,6,480000,7.0,1.1569458510229367,259.63601638560806,1818.6090605502795,2,4.166666666666667e-06,91003.91097881574,125669.42410664349,89185.30191826545,179865.61295243155
L3N4,force_rmse,6,480000,8.0,1.1569458510229367,259.63601638560806,2078.2450769358875,2,4.166666666666667e-06,91003.91097881574,125669.42410664349,88925.66590187985,179865.61295243155
L3N4,force_rmse,6,480000,9.0,1.1569458510229367,259.63601638560806,2337.8810933214954,1,2.0833333333333334e-06,179865.61295243155,,177527.73185911006,179865.61295243155
L3N4,force_rmse,6,480000,10.0,1.1569458510229367,259.63601638560806,2597.5171097071034,1,2.0833333333333334e-06,179865.61295243155,,177268.09584272443,179865.61295243155
L3N5,energy_mae,8,640000,2.0,0.2266159366386033,0.9892912034355839,2.205198343509771,1863,0.0029109375,3.6427430281124638,17.366760564890022,1.4375446846026927,742.6024780273438
L3N5,energy_mae,8,640000,3.0,0.2266159366386033,0.9892912034355839,3.194489546945355,581,0.0009078125,6.005515307034149,30.983241712991592,2.8110257600887945,742.6024780273438
L3N5,energy_mae,8,640000,4.0,0.2266159366386033,0.9892912034355839,4.183780750380938,215,0.0003359375,10.105080715445585,50.74278217157463,5.921299965064645,742.6024780273438
L3N5,energy_mae,8,640000,5.0,0.2266159366386033,0.9892912034355839,5.173071953816522,111,0.0001734375,15.307266089293334,70.37532593258894,10.134194135476811,742.6024780273438
L3N5,energy_mae,8,640000,6.0,0.2266159366386033,0.9892912034355839,6.1623631572521065,70,0.000109375,20.982337284088135,88.357650752418,14.819974126836035,742.6024780273438
L3N5,energy_mae,8,640000,7.0,0.2266159366386033,0.9892912034355839,7.15165436068769,44,6.875e-05,29.552232373844493,111.01920093493663,22.40057801315681,742.6024780273438
L3N5,energy_mae,8,640000,8.0,0.2266159366386033,0.9892912034355839,8.140945564123275,27,4.21875e-05,43.38068866729736,140.9611830132324,35.239743103174085,742.6024780273438
L3N5,energy_mae,8,640000,9.0,0.2266159366386033,0.9892912034355839,9.13023676755886,18,2.8125e-05,60.75350411732992,171.5539542670775,51.62326734977106,742.6024780273438
L3N5,energy_mae,8,640000,10.0,0.2266159366386033,0.9892912034355839,10.119527970994442,12,1.875e-05,86.32646528879802,208.1911337883989,76.20693731780356,742.6024780273438
L3N5,energy_rmse,8,640000,2.0,0.2266159366386033,0.9892912034355839,2.205198343509771,1863,0.0029109375,3.6427430281124638,17.366760564890022,1.4375446846026927,742.6024780273438
L3N5,energy_rmse,8,640000,3.0,0.2266159366386033,0.9892912034355839,3.194489546945355,581,0.0009078125,6.005515307034149,30.983241712991592,2.8110257600887945,742.6024780273438
L3N5,energy_rmse,8,640000,4.0,0.2266159366386033,0.9892912034355839,4.183780750380938,215,0.0003359375,10.105080715445585,50.74278217157463,5.921299965064645,742.6024780273438
L3N5,energy_rmse,8,640000,5.0,0.2266159366386033,0.9892912034355839,5.173071953816522,111,0.0001734375,15.307266089293334,70.37532593258894,10.134194135476811,742.6024780273438
L3N5,energy_rmse,8,640000,6.0,0.2266159366386033,0.9892912034355839,6.1623631572521065,70,0.000109375,20.982337284088135,88.357650752418,14.819974126836035,742.6024780273438
L3N5,energy_rmse,8,640000,7.0,0.2266159366386033,0.9892912034355839,7.15165436068769,44,6.875e-05,29.552232373844493,111.01920093493663,22.40057801315681,742.6024780273438
L3N5,energy_rmse,8,640000,8.0,0.2266159366386033,0.9892912034355839,8.140945564123275,27,4.21875e-05,43.38068866729736,140.9611830132324,35.239743103174085,742.6024780273438
L3N5,energy_rmse,8,640000,9.0,0.2266159366386033,0.9892912034355839,9.13023676755886,18,2.8125e-05,60.75350411732992,171.5539542670775,51.62326734977106,742.6024780273438
L3N5,energy_rmse,8,640000,10.0,0.2266159366386033,0.9892912034355839,10.119527970994442,12,1.875e-05,86.32646528879802,208.1911337883989,76.20693731780356,742.6024780273438
L3N5,force_mae,8,640000,2.0,0.6839355570334773,33.023087716577365,66.73011099018821,9,1.40625e-05,3616.3482348018224,8513.32068752492,3549.618123811634,26224.474267578124
L3N5,force_mae,8,640000,3.0,0.6839355570334773,33.023087716577365,99.75319870676557,8,1.25e-05,4057.7205070137975,8990.365877477114,3957.967308307032,26224.474267578124
L3N5,force_mae,8,640000,4.0,0.6839355570334773,33.023087716577365,132.77628642334292,7,1.09375e-05,4619.534919575282,9557.816748289266,4486.758633151939,26224.474267578124
L3N5,force_mae,8,640000,5.0,0.6839355570334773,33.023087716577365,165.7993741399203,7,1.09375e-05,4619.534919575282,9557.816748289266,4453.735545435362,26224.474267578124
L3N5,force_mae,8,640000,6.0,0.6839355570334773,33.023087716577365,198.82246185649765,7,1.09375e-05,4619.534919575282,9557.816748289266,4420.712457718785,26224.474267578124
L3N5,force_mae,8,640000,7.0,0.6839355570334773,33.023087716577365,231.845549573075,7,1.09375e-05,4619.534919575282,9557.816748289266,4387.689370002207,26224.474267578124
L3N5,force_mae,8,640000,8.0,0.6839355570334773,33.023087716577365,264.8686372896524,7,1.09375e-05,4619.534919575282,9557.816748289266,4354.66628228563,26224.474267578124
L3N5,force_mae,8,640000,9.0,0.6839355570334773,33.023087716577365,297.89172500622976,6,9.375e-06,5344.319984001583,10257.173134927812,5046.428258995354,26224.474267578124
L3N5,force_mae,8,640000,10.0,0.6839355570334773,33.023087716577365,330.91481272280714,6,9.375e-06,5344.319984001583,10257.173134927812,5013.405171278776,26224.474267578124
L3N5,force_rmse,8,640000,2.0,0.8942158400090077,53.55878159325935,108.0117790265277,9,1.40625e-05,5733.204380336127,13871.397809929571,5625.192601309598,42601.954277033605
L3N5,force_rmse,8,640000,3.0,0.8942158400090077,53.55878159325935,161.57056061978705,8,1.25e-05,6435.981067933862,14656.860764946176,6274.410507314075,42601.954277033605
L3N5,force_rmse,8,640000,4.0,0.8942158400090077,53.55878159325935,215.12934221304639,7,1.09375e-05,7328.813508696587,15594.46795829397,7113.684166483542,42601.954277033605
L3N5,force_rmse,8,640000,5.0,0.8942158400090077,53.55878159325935,268.6881238063057,7,1.09375e-05,7328.813508696587,15594.46795829397,7060.1253848902825,42601.954277033605
L3N5,force_rmse,8,640000,6.0,0.8942158400090077,53.55878159325935,322.2469053995651,7,1.09375e-05,7328.813508696587,15594.46795829397,7006.566603297023,42601.954277033605
L3N5,force_rmse,8,640000,7.0,0.8942158400090077,53.55878159325935,375.8056869928244,7,1.09375e-05,7328.813508696587,15594.46795829397,6953.0078217037635,42601.954277033605
L3N5,force_rmse,8,640000,8.0,0.8942158400090077,53.55878159325935,429.3644685860838,6,9.375e-06,8481.66993224925,16752.92996591238,8052.305463663165,42601.954277033605
L3N5,force_rmse,8,640000,9.0,0.8942158400090077,53.55878159325935,482.92325017934314,6,9.375e-06,8481.66993224925,16752.92996591238,7998.746682069906,42601.954277033605
L3N5,force_rmse,8,640000,10.0,0.8942158400090077,53.55878159325935,536.4820317726025,6,9.375e-06,8481.66993224925,16752.92996591238,7945.187900476646,42601.954277033605
L4N3,energy_mae,6,480000,2.0,0.21285012905923262,0.3128703405695956,0.8385908101984239,16763,0.034922916666666665,1.3454005608928166,0.8350323073062342,0.5068097506943928,62.61231994628906
L4N3,energy_mae,6,480000,3.0,0.21285012905923262,0.3128703405695956,1.1514611507680195,7977,0.01661875,1.757518180244262,1.0642574080489218,0.6060570294762426,62.61231994628906
L4N3,energy_mae,6,480000,4.0,0.21285012905923262,0.3128703405695956,1.464331491337615,4235,0.008822916666666666,2.171801560969392,1.326822393305036,0.7074700696317769,62.61231994628906
L4N3,energy_mae,6,480000,5.0,0.21285012905923262,0.3128703405695956,1.7772018319072107,2429,0.005060416666666667,2.5928186809835045,1.6272993435361094,0.8156168490762938,62.61231994628906
L4N3,energy_mae,6,480000,6.0,0.21285012905923262,0.3128703405695956,2.0900721724768063,1474,0.0030708333333333334,3.0280684595030394,1.969204301460842,0.937996287026233,62.61231994628906
L4N3,energy_mae,6,480000,7.0,0.21285012905923262,0.3128703405695956,2.4029425130464017,957,0.00199375,3.45653327181546,2.333770806318196,1.053590758769059,62.61231994628906
L4N3,energy_mae,6,480000,8.0,0.21285012905923262,0.3128703405695956,2.7158128536159976,641,0.0013354166666666666,3.904926093617765,2.7426071053075645,1.1891132400017677,62.61231994628906
L4N3,energy_mae,6,480000,9.0,0.21285012905923262,0.3128703405695956,3.0286831941855934,422,0.0008791666666666667,4.442841406682091,3.2529211347310407,1.4141582124964982,62.61231994628906
L4N3,energy_mae,6,480000,10.0,0.21285012905923262,0.3128703405695956,3.341553534755189,318,0.0006625,4.853421936994828,3.6557081596130367,1.5118684022396396,62.61231994628906
L4N3,energy_rmse,6,480000,2.0,0.21285012905923262,0.3128703405695956,0.8385908101984239,16763,0.034922916666666665,1.3454005608928166,0.8350323073062342,0.5068097506943928,62.61231994628906
L4N3,energy_rmse,6,480000,3.0,0.21285012905923262,0.3128703405695956,1.1514611507680195,7977,0.01661875,1.757518180244262,1.0642574080489218,0.6060570294762426,62.61231994628906
L4N3,energy_rmse,6,480000,4.0,0.21285012905923262,0.3128703405695956,1.464331491337615,4235,0.008822916666666666,2.171801560969392,1.326822393305036,0.7074700696317769,62.61231994628906
L4N3,energy_rmse,6,480000,5.0,0.21285012905923262,0.3128703405695956,1.7772018319072107,2429,0.005060416666666667,2.5928186809835045,1.6272993435361094,0.8156168490762938,62.61231994628906
L4N3,energy_rmse,6,480000,6.0,0.21285012905923262,0.3128703405695956,2.0900721724768063,1474,0.0030708333333333334,3.0280684595030394,1.969204301460842,0.937996287026233,62.61231994628906
