run,sweep_task_id,seed,hiphop_l_max,hiphop_n_max,data_size,total_params,run_dir,checkpoint_path,checkpoint_kind_requested,checkpoint_file_used,checkpoint_target_epoch,eval_batch_size,test_indices_path,test_set_size,per_point_csv,per_point_npz,checkpoint_epoch_count,best_valid_T-RMSE,best_valid_T-MAE,best_valid_F-RMSE,best_valid_F-MAE,test_T-RMSE,test_T-MAE,test_T-RSQ,test_F-RMSE,test_F-MAE,test_F-RSQ,test_Error Loss,test_L2,test_Loss,status
task 0: l=3 n=5 d=1000000,0,42,3,5,1000000,,/vast/home/logan_bolton/Github/hippynn-optimization-speedup-l3n5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed42-b256_fresh_1m,/vast/home/logan_bolton/Github/hippynn-optimization-speedup-l3n5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed42-b256_fresh_1m/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.npz,3894,0.37135693430900574,0.20916256308555603,1.3973701000213623,0.6102387309074402,0.3565281300139793,0.2081716774016153,,1.32551206124052,0.6043628579591265,,,,,ok
task 1: l=3 n=5 d=1000000,1,1776,3,5,1000000,,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed1776-b256_fresh_1m,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed1776-b256_fresh_1m/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.npz,3524,0.38144487142562866,0.21432310342788696,1.4312454462051392,0.6273283362388611,0.4246558822288594,0.21555212002652696,,11.829932355929055,0.6531529181974322,,,,,ok
task 2: l=3 n=5 d=1000000,2,7,3,5,1000000,,/vast/home/logan_bolton/Github/hippynn-optimization-speedup-l3n5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed7-b256_fresh_1m,/vast/home/logan_bolton/Github/hippynn-optimization-speedup-l3n5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed7-b256_fresh_1m/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.npz,3981,0.36681389808654785,0.2163219004869461,1.2914223670959473,0.6264457702636719,0.5030915057727154,0.21562233584981877,,2.835281684442759,0.6349262734162017,,,,,ok
task 3: l=3 n=5 d=1000000,3,0,3,5,1000000,,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed0-b256_fresh_1m,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed0-b256_fresh_1m/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.npz,1371,0.4474027752876282,0.2791089415550232,1.4473485946655273,0.7138763070106506,0.45883251568902705,0.27910872991609503,,1.578732560834111,0.7222488466519684,,,,,ok
task 4: l=3 n=5 d=1000000,4,1,3,5,1000000,,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed1-b256_fresh_1m,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed1-b256_fresh_1m/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.npz,5457,0.3564397692680359,0.20726747810840607,1.2859920263290405,0.604037344455719,0.3520476840376211,0.20622627334078425,,1.2933777045529313,0.6048977085948131,,,,,ok
task 5: l=3 n=5 d=1000000,5,2,3,5,1000000,,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed2-b256_fresh_1m,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed2-b256_fresh_1m/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.npz,1688,0.446786105632782,0.27246347069740295,1.4693894386291504,0.7088798880577087,0.45046770333311215,0.2711846569232875,,2.1983157814365977,0.7000906752509899,,,,,ok
task 6: l=3 n=5 d=1000000,6,3,3,5,1000000,,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed3-b256_fresh_1m,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed3-b256_fresh_1m/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.npz,5464,0.359707772731781,0.20729750394821167,1.3180042505264282,0.603593647480011,2.648578180160734,0.21322648383491905,,150.97719213691028,0.9543238453082752,,,,,ok
task 7: l=3 n=5 d=1000000,7,4,3,5,1000000,,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed4-b256_fresh_1m,/vast/home/logan_bolton/Github/hippynn-lmax3-nmax5/examples/TEST_METHANE_MODEL_l3_n5_d1000000_seed4-b256_fresh_1m/best_checkpoint.pt,best,best_checkpoint.pt,,4096,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/test_sets/methane_common_test_n80000_seed20260720.npy,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.npz,5641,0.34635618329048157,0.2043939083814621,1.2421537637710571,0.5956050157546997,0.35707750322913323,0.2038352158157795,,1.3610072700351443,0.5974813308890118,,,,,ok
