metric,l4n3_outlier_rows,l4n3_unique_structures,l4n3_mean,l4n3_sample_std,l4n3_2std_cutoff,l4n4_outlier_rows,l4n4_unique_structures,l4n4_mean,l4n4_sample_std,l4n4_2std_cutoff,shared_unique_structures,fraction_of_l4n3_shared,fraction_of_l4n4_shared,seed_mean_pearson_correlation,seed_mean_spearman_correlation,top_100_shared_structures
abs_energy_error,16763,7976,0.21285012905923262,0.3128703405695956,0.8385908101984239,9044,5386,0.18431823268869485,0.3094037072421934,0.8031256471730817,4059,0.508901705115346,0.753620497586335,0.7698585658349868,0.779913621815983,52
force_mae,12279,3728,0.6235365425018274,0.9935041332641652,2.610544809030158,6083,2524,0.5525675227720267,1.0528481701190122,2.6582638630100512,2306,0.6185622317596566,0.9136291600633915,0.7908659063685929,0.9678958801055934,81
force_rmse,11354,3464,0.8012020926748781,1.3548918530139997,3.5109857987028774,4881,2060,0.7108132701379515,1.5365001817274073,3.783813633592766,1911,0.5516743648960739,0.9276699029126214,0.7426590578047183,0.967004244914524,79
