group,metric,n_values,mean,sample_std,median,q1,q3,min,max
L3N4,force_rmse,427928,0.5153328974275089,0.3436861546404975,0.4123828347179396,0.24983938081638174,0.6953197531342414,0.0301829000412802,1.6833649003130755
L3N5,force_rmse,571360,0.5461875049628632,0.363090848321141,0.4382274200905481,0.26689003778082643,0.7372089456780782,0.0257475304670313,1.8660932034551196
L4N3,force_rmse,428411,0.5326740088442957,0.3572381917026432,0.424282529425868,0.25623908057486877,0.7225618820251992,0.0288212454021648,1.6676700389260086
L4N4,force_rmse,284723,0.4646629879831724,0.31032782768333195,0.3710255309852203,0.22434160082452725,0.6295629903039757,0.0284128157338981,1.4467140732452763
