group,metric,n_values,mean,sample_std,median,q1,q3,min,max
L3N4,energy_abs_error,433958,0.14098535123820063,0.11798324597272197,0.1074981689453125,0.048147976398467976,0.20464289188385004,0.0,0.5463733673095703
L3N5,energy_abs_error,580399,0.15276479655292802,0.130207148845697,0.1155281066894531,0.0512008666992187,0.221405029296875,0.0,0.6836433410644531
L4N3,energy_abs_error,433705,0.14050021505716437,0.11815488359256149,0.1063957214355468,0.0474205017089843,0.2043876647949218,0.0,0.5151405334472656
L4N4,energy_abs_error,288460,0.1199795902160887,0.10040912425809154,0.0912837982177734,0.04082220792770382,0.1743049621582031,0.0,0.4347953796386719
