run_label,architecture,seed,source_file,metric_column,std_threshold,iteration,n_before,mean,sample_std,threshold,n_removed
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,force_mae,3.0,10,71472,0.39194403816798123,0.25994427221637706,1.1717768548171124,151
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,1,80000,2.3786001279911937,492.2995631657765,1479.2772896253207,1
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,2,79999,0.6380608837001563,0.8432251924372678,3.16773646101196,1294
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,3,78705,0.5653901925679211,0.5170739896129743,2.1166121614068443,1996
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,4,76709,0.5137282701787866,0.40842254718520465,1.7389959117344007,1574
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,5,75135,0.4844540001254685,0.3581695288500335,1.558962586675569,1153
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,6,73982,0.4663504838215581,0.329974335393118,1.4562734900009122,808
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,7,73174,0.45485579857493924,0.31301414847475423,1.393898243999202,548
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,8,72626,0.44754052626265856,0.30260384346823666,1.3553520566673685,379
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,9,72247,0.4426793426262276,0.2958384179156729,1.3301945963732462,289
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,3.0,10,71958,0.4390656975725661,0.29087308466653655,1.3116849515721758,199
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,1,80000,0.5807663608315538,0.9437260879900847,3.4119446248018077,957
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,2,79043,0.5223546483978124,0.5095786071818462,2.051090469943351,2054
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,3,76989,0.46805547417945015,0.38659248363778426,1.627832925092803,1693
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,4,75296,0.4377862854856976,0.3329080367397968,1.436510395705088,1310
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,5,73986,0.4184972280880429,0.30224208110155154,1.3252234713926976,953
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,6,73033,0.40597976314292655,0.28348475321672373,1.2564340227930977,663
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,7,72370,0.3978770111890695,0.2717792158565686,1.2132146587587753,524
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,8,71846,0.3917812610557533,0.2631909872110243,1.1813542226888263,321
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,9,71525,0.38816775345445503,0.2581810200966739,1.1627108137444766,216
