run_label,architecture,seed,source_file,metric_column,n_csv_rows,n_usable_raw,n_retained,n_removed,removed_fraction,raw_mean,raw_sample_std,raw_median,raw_q1,raw_q3,raw_min,raw_max,retained_mean,retained_sample_std,retained_median,retained_q1,retained_q3,retained_min,retained_max
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,80000,80000,70955,9045,0.1130625,0.7487737191471382,1.062059810771518,0.4422602070916756,0.25246691535089133,0.8444141193051773,0.0378955904261295,66.2939031846871,0.48781014951699286,0.32489425307581127,0.389798054919411,0.23581827064217464,0.6603273085964974,0.0378955904261295,1.474082500017175
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,force_rmse,80000,80000,71501,8499,0.1062375,0.7759377503699537,2.727832319847768,0.46174658313555883,0.26232155328294793,0.875146267033887,0.0420481739969394,687.9956930235953,0.5133111508073344,0.34516528871716706,0.4092197670616602,0.2455693626915347,0.6946736466576235,0.0420481739969394,1.562229606543912
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,force_rmse,80000,80000,71150,8850,0.110625,0.7593240561979255,1.803635935018513,0.44809821629281166,0.2579670233283039,0.849870530138641,0.0345879178321444,414.7748789531857,0.4955536181157439,0.3287470068152344,0.396641885808662,0.24141841694026178,0.668755025004764,0.0345879178321444,1.49544256508818
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_rmse,80000,80000,71777,8223,0.1027875,3.06855626350397,635.9190477885116,0.5007594347687033,0.2870342827402083,0.9358561718373005,0.0307451595072493,179865.61295243155,0.5574237534000002,0.37095791841686515,0.4469417194844071,0.2702108929479055,0.7510066299252055,0.0307451595072493,1.6833649003130755
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_rmse,80000,80000,71021,8979,0.1122375,0.7459622809873312,1.2523542465365345,0.44426538204130056,0.25398523239096654,0.8398174715399348,0.0301829000412802,201.27902566320157,0.4877179454950359,0.32272289100052154,0.3915331552600941,0.2373564662548073,0.659885206204081,0.0301829000412802,1.4687550794118394
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_rmse,80000,80000,71524,8476,0.10595,0.8431210359313008,7.652568671926223,0.4947098512358462,0.2892351624970767,0.9278181694668655,0.0373099997378032,2142.209005199933,0.5495146453466759,0.35921002135665175,0.44145820253123974,0.27206379857822227,0.7409477124967647,0.0373099997378032,1.640842723402485
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_rmse,80000,80000,71637,8363,0.1045375,0.9302972736635371,1.2755249187294415,0.5771007730603925,0.34369264898106605,1.0589015784053064,0.0537600370197156,95.44022227315418,0.6373820768117759,0.40673054207947823,0.5164497291649905,0.3239028806332625,0.8520506996819275,0.0537600370197156,1.8660932034551196
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_rmse,80000,80000,71335,8665,0.1083125,0.77667101360709,1.0342250207399561,0.4666982153464704,0.26958467000956987,0.8824576987659734,0.0403030294232967,57.83772347096794,0.5181352348117005,0.3434326949990175,0.4143059573559253,0.2532013469749059,0.6981642756429051,0.0403030294232967,1.5575971728907976
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_rmse,80000,80000,71686,8314,0.103925,0.8995919849183872,2.005835693119988,0.5550340407042336,0.33036899730109653,1.0205430249241796,0.0516063748611255,411.6749673806163,0.6139053846928194,0.3917291562202045,0.49774987654675684,0.31185569795893014,0.8240240838929425,0.0516063748611255,1.8017463322947176
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_rmse,80000,80000,71422,8578,0.107225,1.3426306001985093,150.97216563344338,0.45905638042901115,0.2643446409352009,0.8743112911740627,0.0310329936552001,42601.954277033605,0.5117573147396874,0.3415850730061238,0.40844904372853635,0.2475199061770369,0.6947663739657606,0.0310329936552001,1.5510840915983966
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,force_rmse,80000,80000,71212,8788,0.10985,0.767989277423989,1.1236320753312905,0.4576406961231181,0.26172438054193364,0.868740659891615,0.0257475304670313,77.08779415843115,0.5055749412204701,0.3374731863236857,0.4049663080312689,0.24440454512430732,0.6866527529517612,0.0257475304670313,1.5308480691346382
L3N5 seed 7,L3N5,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,force_rmse,80000,80000,71302,8698,0.108725,0.8156407186690648,2.715445565417085,0.4845574394936819,0.2779150420772436,0.9160634799268684,0.0346462300039816,702.0980929625365,0.5359504552129853,0.3558027146440659,0.4300052168587519,0.2599645515456086,0.7241328135191469,0.0346462300039816,1.6161148844855693
L3N5 seed 42,L3N5,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,force_rmse,80000,80000,71314,8686,0.108575,0.7763728265238862,1.0743564989113195,0.46635185551241853,0.26571661417012254,0.882700700532155,0.0400209465237158,66.37575037305601,0.5155700473089095,0.3443297357079001,0.4131839982152884,0.2480224341895248,0.6986936434336842,0.0400209465237158,1.5589049941627542
L3N5 seed 1776,L3N5,1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,force_rmse,80000,80000,71452,8548,0.10685,0.8445330250675972,11.79982220048153,0.47802224752097056,0.2750988497693028,0.9047793565305785,0.0298951273978228,3185.393615054313,0.5304892691278086,0.3521566178126446,0.4255643059450728,0.25826169891580947,0.7165804319422078,0.0298951273978228,1.6000356164284986
L4N3 seed 7,L4N3,7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,force_rmse,80000,80000,71324,8676,0.10845,0.7753723255357129,1.0564935853803457,0.460930001745545,0.2633491990983282,0.8830272659567238,0.0288212454021648,50.09047381752151,0.5149684445320641,0.3477239954479545,0.40837084934812357,0.24635593309766246,0.7001938424392233,0.0288212454021648,1.57161124132566
L4N3 seed 42,L4N3,42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,force_rmse,80000,80000,71476,8524,0.10655,0.809886800124928,2.047969306208862,0.48202373321470715,0.27628939036870914,0.9150266467363962,0.0365534372707093,486.9633026656726,0.5366904996318178,0.35933565573032167,0.4296141284632967,0.258775462217967,0.7258786159970174,0.0365534372707093,1.628475040015535
L4N3 seed 101,L4N3,101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,force_rmse,80000,80000,71410,8590,0.107375,0.8257259389713092,1.1601534754277159,0.49472818448742417,0.28168237055824896,0.9432714152956944,0.0398098783797071,103.36672337172006,0.5502706440079423,0.3691198064895395,0.4375641702803367,0.263866707510777,0.7498261083134259,0.0398098783797071,1.6676700389260086
L4N3 seed 202,L4N3,202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,force_rmse,80000,80000,71467,8533,0.1066625,0.7987275902263791,1.2491149539856543,0.47952587677147995,0.2733293560239907,0.9086581731117785,0.0426550141957283,175.72073603355872,0.5326093657131553,0.35726640271206567,0.4241415320242523,0.25597278979850224,0.7218908169497156,0.0426550141957283,1.6153454448385631
L4N3 seed 303,L4N3,303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,force_rmse,80000,80000,71285,8715,0.1089375,0.8081150269731313,1.0942569696426558,0.4855259819158265,0.28030538973691144,0.9211336652485871,0.031480139836233,58.85059608692058,0.5377002496422629,0.35492336876538383,0.431440950986769,0.2624667182439857,0.727002139094517,0.031480139836233,1.613132541287169
L4N3 seed 1776,L4N3,1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,force_rmse,80000,80000,71449,8551,0.1068875,0.7893848742178087,1.2645035356073908,0.4695176990119525,0.2671326774824332,0.8969026202510623,0.0288246781425481,171.816428340269,0.5237935141111401,0.3536612355980312,0.4161095230032844,0.250654394267859,0.7119745191702206,0.0288246781425481,1.5971797520632345
L4N4 seed 0,L4N4,0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,force_rmse,80000,80000,71005,8995,0.1124375,0.6998088506690505,1.0027711299909015,0.41086693331462387,0.23852286858830138,0.7888040680032076,0.0302308935050781,62.54296158067261,0.45578155314501023,0.3015841895539183,0.3639350010252563,0.2231928550764372,0.6155957068143414,0.0302308935050781,1.370878801191863
