run_label,architecture,seed,source_file,metric_column,std_threshold,iteration,n_before,mean,sample_std,threshold,n_removed
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,1,80000,0.7487737191471382,1.062059810771518,3.9349531514616922,1249
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,2,78751,0.6592810727269047,0.6331905866448171,2.5588528326613558,2045
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,3,76706,0.5940259910104888,0.4937196736831504,2.07518501205994,1714
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,4,74992,0.5551085907782691,0.4255617649972657,1.8317938857700664,1323
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,5,73669,0.5301065378289075,0.3857880162634672,1.687470586619309,926
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,6,72743,0.514486094343977,0.3623423486542825,1.6015131403068246,625
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,7,72118,0.5047099811031369,0.34828268057378237,1.5495580228244838,434
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,8,71684,0.498224469096642,0.33918174588850397,1.5157697067621538,324
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,9,71360,0.4935271404652814,0.3326924828673219,1.4916045890672471,241
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,3.0,10,71119,0.4901033059539082,0.3280062237700797,1.4741219772641474,164
