run_label,architecture,seed,source_file,metric_column,n_csv_rows,n_usable_raw,n_retained,n_removed,removed_fraction,raw_mean,raw_sample_std,raw_median,raw_q1,raw_q3,raw_min,raw_max,retained_mean,retained_sample_std,retained_median,retained_q1,retained_q3,retained_min,retained_max
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_mae,80000,80000,78708,1292,0.01615,0.582884143878776,0.8055986490160479,0.348133381207784,0.19960331122080485,0.6596984068552654,0.0289445241292317,42.44482390085856,0.5135168752203657,0.4851320018015587,0.3417729616165161,0.19787304004033401,0.6356030186017354,0.0289445241292317,2.998211399714152
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,force_mae,80000,80000,79887,113,0.0014125,0.6041831642617682,2.2197218485766372,0.3632801786065102,0.20782425353924427,0.6829037825266521,0.0319726943969726,570.8828290303549,0.5808873293456526,0.664470441303204,0.3626992543538411,0.2076563234130541,0.6807093222935995,0.0319726943969726,7.261382675170898
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,force_mae,80000,80000,79450,550,0.006875,0.5900155144423305,1.223081324961448,0.3532285372416178,0.20357764561971026,0.6630778789520264,0.0244662046432495,262.4850346883138,0.5453202108081926,0.5652240278606886,0.3501675367355346,0.20273947119712826,0.6524596432844798,0.0244662046432495,4.258175881703695
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_mae,80000,80000,79999,1,1.25e-05,2.3786001279911937,492.2995631657765,0.39403398831685377,0.22730374733606973,0.7294029454390208,0.0256780306498209,139243.77760416668,0.6380608837001563,0.8432251924372678,0.3940144538879394,0.22730206648508705,0.7293701330820719,0.0256780306498209,45.4123716990153
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,80000,80000,79043,957,0.0119625,0.5807663608315538,0.9437260879900847,0.34949246247609456,0.2010245104630788,0.6574463248252869,0.0217093249162038,148.747536722819,0.5223546483978124,0.5095786071818462,0.3446199099222819,0.1995095014572143,0.6394601662953694,0.0217093249162038,3.4110677083333334
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,80000,80000,79987,13,0.0001625,0.6539855536744487,5.326287525721388,0.38929215669631956,0.22884097794691718,0.7235017220179241,0.0318477551142374,1487.761707560221,0.6317233255198825,0.7898452689724201,0.389253044128418,0.22880260248978923,0.72332617243131,0.0318477551142374,16.5427214940389
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,80000,80000,78795,1205,0.0150625,0.7222488466519684,0.960911105703023,0.45367230971654254,0.27192498445510865,0.8259591261545818,0.0362982988357543,64.86441561381022,0.6448141275752628,0.5740931846360521,0.4468540827433268,0.26970613002777094,0.7994509140650431,0.0362982988357543,3.604802668094635
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,80000,80000,78593,1407,0.0175875,0.604897708594813,0.7926970774021175,0.3665263851483662,0.21306615124146142,0.6898143922289213,0.0312239229679107,37.862176704406735,0.5323731091821269,0.490673329117302,0.3599296808242798,0.2109794775644938,0.6620719273885091,0.0312239229679107,2.98181521097819
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,80000,80000,79519,481,0.0060125,0.7000906752509899,1.401927933612531,0.43712919950485224,0.2615287224451701,0.7970869660377502,0.0414168993631998,270.8245330174764,0.6537945824896759,0.6446389188962822,0.4343834400177002,0.2607948660850524,0.7876708030700683,0.0414168993631998,4.901611502965292
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,80000,80000,79997,3,3.75e-05,0.9543238453082751,92.9956463971765,0.36174583435058594,0.20880079666773477,0.6820282102872928,0.0233251651128133,26224.474267578124,0.5967284759097814,0.8103218883268312,0.36172616481781,0.2087940375010172,0.6820098678270976,0.0233251651128133,48.90886878967285
