architecture,n_values,energy_mae,energy_rmse,energy_error_sample_std
L3N4,474444,0.19482727365729063,0.305618104307479,0.30561818980787914
L3N5,631370,0.2028616882670338,0.3020880125238021,0.3020876820227103
L4N3,471819,0.18641888614271798,0.27192943670838954,0.27192576116348005
L4N4,315203,0.16266010746507428,0.2406342343954362,0.24063409579015868
