group,metric,n_values,mean,sample_std,median,q1,q3,min,max
L3N4,energy_abs_error,474444,0.19482727365729063,0.2354673565117043,0.1213531494140625,0.0530471801757812,0.24954462051391602,0.0,11.28863525390625
L3N5,energy_abs_error,631370,0.2028616882670338,0.22384008153640014,0.12977814674377441,0.0560989379882812,0.2662689685821533,0.0,6.933555603027344
L4N3,energy_abs_error,471819,0.18641888614271798,0.19797398947136072,0.1194305419921875,0.0518820285797119,0.24639892578125,0.0,1.31854248046875
L4N4,energy_abs_error,315203,0.16266010746507428,0.17733195980642263,0.1029548645019531,0.0449142456054687,0.21225547790527338,0.0,1.4185638427734375
