metric,n_winners_in_decile,category,decile_count,decile_fraction,test_fraction,enrichment
energy_abs_error,360,in_high_force,161,0.44722222222222224,0.1500018750234378,2.981444212962963
energy_abs_error,360,in_high_energy,70,0.19444444444444445,0.14998937486718583,1.2963881249363374
energy_abs_error,360,in_planar,60,0.16666666666666666,0.14998937486718583,1.1111898213740035
force_rmse,226,in_high_force,103,0.4557522123893805,0.1500018750234378,3.0383101032448376
force_rmse,226,in_high_energy,43,0.1902654867256637,0.14998937486718583,1.2685264332499684
force_rmse,226,in_planar,24,0.10619469026548672,0.14998937486718583,0.708014753441843
