condition,subset,architecture,n_runs,n_molecules,energy_mae_mean,energy_mae_sd,energy_rmse_mean,energy_rmse_sd,force_mae_mean,force_mae_sd,force_rmse_mean,force_rmse_sd
raw,all,L3N4,6,80000,0.21853441471931487,0.026750558239361497,2.1176861322680725,3.9176788525458317,0.8984058108466785,0.7256496071569198,108.52857091420235,258.3802044684936
raw,all,L3N5,8,80000,0.2266159366386033,0.03032985145742415,0.6939098880581478,0.7917715442326969,0.6839355570334773,0.11846719396320242,21.67491894442266,52.36723200494332
raw,high_force,L3N4,6,12000,0.41993906442661283,0.039047411629390336,1.0557985193124575,0.9713065838534505,1.3096936844786458,0.09601050717869494,5.462271625147281,6.994836393118576
raw,high_force,L3N5,8,12000,0.43808724547568517,0.05109270740147668,0.7157776670799794,0.08152594024615355,1.3804302452606454,0.1081248808969991,6.520004888866397,9.239772426329973
raw,high_energy,L3N4,6,12000,0.28963195980919737,0.1099254967280392,5.174670486787261,10.262404425322368,2.712453255693653,4.743610137553999,279.56080713483874,667.4594657642003
raw,high_energy,L3N5,8,12000,0.26548854887485507,0.03173389802772295,1.3937083075654528,2.189406352119902,1.0831720654016026,0.7436942548585556,54.76131888230943,135.3268472023571
raw,planar,L3N4,6,12000,0.2603942181160156,0.10552744982649549,4.675434881398929,10.45706258725671,2.5712422181834405,4.750858492254838,276.2582108671851,669.0481934600595
raw,planar,L3N5,8,12000,0.24370328078710007,0.03195603632791221,1.2954690670210107,2.228101350276202,0.9408508108439065,0.7551774025956948,50.92935463354141,136.57426878738005
single_point_removed,all,L3N4,6,79999,0.21251920969216556,0.016046623050881854,0.5001314305894206,0.34694666504944527,0.6074353869361794,0.03151183401189426,2.6306510403881593,2.5569054102771873
single_point_removed,all,L3N5,8,79999,0.2252717524492014,0.031085887199858258,0.38914246746143794,0.046116748502718526,0.6415013765497277,0.04589166364343766,3.842119279426887,4.498231859983507
single_point_removed,high_force,L3N4,6,12000,0.41993906442661283,0.039047411629390336,1.0557985193124575,0.9713065838534505,1.3096936844786458,0.09601050717869494,5.462271625147281,6.994836393118576
single_point_removed,high_force,L3N5,8,12000,0.43808724547568517,0.05109270740147668,0.7157776670799794,0.08152594024615355,1.3804302452606454,0.1081248808969991,6.520004888866397,9.239772426329973
single_point_removed,high_energy,L3N4,6,11999,0.24953367750051966,0.026936507942379343,0.9204901243604194,1.0190029545557948,0.772664198691305,0.07161422423287897,5.783928329819084,7.040521096553017
single_point_removed,high_energy,L3N5,8,11999,0.25652992579328765,0.03166198473569391,0.5362739242104873,0.06850947180257946,0.8002907612920009,0.08286292329549791,5.565475712278456,9.534501612747727
single_point_removed,planar,L3N4,6,11999,0.22029349912580673,0.014662143792867845,0.39402044223029997,0.029269341650561814,0.6314413926139197,0.03413943297464,2.2522746031827956,2.0472854483185228
single_point_removed,planar,L3N5,8,11999,0.2347428421152262,0.03127555725795669,0.41752486649297404,0.05601823997672011,0.6579576456413342,0.04823455766826596,1.5042497444264449,0.15725368844228063
