metric,rank,source_index,l3n4_median_error,l3n5_median_error,absolute_improvement,percent_improvement,matched_seed_wins,matched_seed_median_difference,target_energy,max_target_atomic_force,h_planarity_ratio,in_high_force,in_high_energy,in_planar
energy_abs_error,1,6266598,8.67425537109375,3.349853515625,5.32440185546875,61.38165903221948,4/4,-5.5023193359375,1055.802978515625,4476.731168443207,0.05688926283028245,True,True,False
energy_abs_error,2,5135411,2.6906747817993164,1.2095928192138672,1.4810819625854492,55.04500107571587,4/4,-0.6592569351196289,-28.961380004882812,683.2154150202966,0.062442774320479774,True,False,False
energy_abs_error,3,6360591,1.6442756652832031,0.32733154296875,1.3169441223144531,80.09266025886409,4/4,-1.054891586303711,-52.64358901977539,251.14580256404994,0.08493750686568405,True,False,False
energy_abs_error,4,7700291,2.0195465087890625,0.7217483520507812,1.2977981567382812,64.26186032806207,4/4,-0.8295478820800781,-84.5953598022461,161.87158998919742,0.03838918469786668,False,False,True
energy_abs_error,5,4778168,1.5999755859375,0.42877197265625,1.17120361328125,73.20134279392691,4/4,-2.0037841796875,102.83438110351562,1095.6778672505068,0.11214948696409303,True,True,False
energy_abs_error,6,7533136,1.2785544395446777,0.2779698371887207,1.000584602355957,78.25905345980324,4/4,-1.2572455406188965,-5.817512035369873,440.0471436684739,0.05956178872883504,True,False,False
energy_abs_error,7,6233586,1.1999969482421875,0.22180938720703125,0.9781875610351562,81.51583739175769,4/4,-0.7604141235351562,-155.23348999023438,190.5740865538173,0.0762589689763771,True,False,False
energy_abs_error,8,3986441,1.3189067840576172,0.3569622039794922,0.961944580078125,72.93499371644008,4/4,-1.3292369842529297,-14.988593101501465,81.56416086880213,0.5545674904598413,False,False,False
energy_abs_error,9,4246309,2.22216796875,1.279815673828125,0.942352294921875,42.40688859591299,4/4,-0.942352294921875,956.009521484375,4542.151327963925,0.09653371641999943,True,True,False
energy_abs_error,10,6431212,1.9236345291137695,0.9864683151245117,0.9371662139892578,48.7185169430815,4/4,-0.8711748123168945,-23.835556030273438,79.06343886426193,0.16942946011850551,False,False,False
energy_abs_error,11,6884814,1.4697532653808594,0.5478515625,0.9219017028808594,62.72492972770947,4/4,-0.263763427734375,89.39464569091797,1118.8609175821896,0.1171165976883283,True,True,False
energy_abs_error,12,3297536,1.533761978149414,0.6588172912597656,0.8749446868896484,57.04566284433048,4/4,-0.9878311157226562,-51.58659362792969,90.29604035629434,0.018269102057948506,False,False,True
energy_abs_error,13,6875260,1.5479583740234375,0.7123184204101562,0.8356399536132812,53.98336076966298,4/4,-1.0392913818359375,129.33782958984375,1727.201625412213,0.2116218568894353,True,True,False
energy_abs_error,14,4311297,1.7152711749076843,0.8818759918212891,0.8333951830863953,48.586788799225786,4/4,-0.9576457142829895,0.140861377120018,669.0704176590882,0.18196637967950569,True,False,False
energy_abs_error,15,7471829,1.2210073471069336,0.39734840393066406,0.8236589431762695,67.45732899378983,4/4,-0.7863788604736328,-26.54686737060547,145.37162736198925,0.29906162122076535,False,False,False
energy_abs_error,16,3958523,1.43609619140625,0.6266727447509766,0.8094234466552734,56.36275978579625,4/4,-0.9183006286621094,-48.543033599853516,619.3285289998116,0.17980738025165896,True,False,False
energy_abs_error,17,3296808,0.8751296997070312,0.08672332763671875,0.7884063720703125,90.09023146331894,4/4,-0.6021575927734375,231.32760620117188,2004.9007509127746,0.00954705599384021,True,True,True
energy_abs_error,18,5699432,1.4532432556152344,0.6821327209472656,0.7711105346679688,53.0613530589906,4/4,-0.8087348937988281,-82.49061584472656,79.01238463718785,0.22110084229230562,False,False,False
energy_abs_error,19,5797633,1.4322052001953125,0.666412353515625,0.7657928466796875,53.46949212132835,4/4,-0.9049224853515625,418.9857177734375,2914.668777720345,0.15812600319764378,True,True,False
energy_abs_error,20,3630651,0.9855995178222656,0.22072982788085938,0.7648696899414062,77.60451137713889,4/4,-0.6937732696533203,-55.61471176147461,115.70522652356625,0.13847126556324804,False,False,False
energy_abs_error,21,3538906,1.2740774154663086,0.5135488510131836,0.760528564453125,59.69249240437825,4/4,-0.1867508888244629,-10.420146942138672,65.23920505992535,0.0841401073650634,False,False,False
energy_abs_error,22,4193180,1.1773967742919922,0.43225860595703125,0.7451381683349609,63.28692116411116,4/4,-0.7451381683349609,-53.760929107666016,63.13612337591577,0.22174568654863636,False,False,False
energy_abs_error,23,4839551,0.8586578369140625,0.13003158569335938,0.7286262512207031,84.85641426616672,4/4,-0.6203689575195312,127.39763641357422,1532.0652796884274,0.12308562557055328,True,True,False
energy_abs_error,24,6690948,1.0137863159179688,0.29006195068359375,0.723724365234375,71.38825548054997,4/4,-0.6059417724609375,164.58885192871094,1983.1853450377337,0.056256993046109594,True,True,False
