metric,n_winners,category,winner_count,winner_fraction,test_fraction,enrichment
energy_abs_error,3591,in_high_force,567,0.15789473684210525,0.1500018750234378,1.0526184210526315
energy_abs_error,3591,in_high_energy,538,0.14981899192425507,0.14998937486718583,0.9988640332484776
energy_abs_error,3591,in_planar,574,0.15984405458089668,0.14998937486718583,1.0657025187446583
force_rmse,2255,in_high_force,366,0.1623059866962306,0.1500018750234378,1.0820263858093127
force_rmse,2255,in_high_energy,346,0.15343680709534369,0.14998937486718583,1.0229845096108343
force_rmse,2255,in_planar,322,0.14279379157427938,0.14998937486718583,0.9520260465164411
