condition,subset,per_molecule_metric,n_molecules,l3n5_win_fraction,tie_fraction,median_l3n5_minus_l3n4,mean_l3n5_minus_l3n4
raw,all,energy_abs_error,80000,0.4629375,0.0,0.005649566650390625,0.007596114897483494
raw,all,force_rmse,80000,0.3893,0.0,0.020369430819089873,0.032850938917516274
raw,high_force,energy_abs_error,12000,0.46675,0.0,0.010562896728515625,0.013428657278884202
raw,high_force,force_rmse,12000,0.39766666666666667,0.0,0.045304185620927084,0.06735759051046739
raw,high_energy,energy_abs_error,12000,0.4696666666666667,0.0,0.004245758056640625,0.006153747081756592
raw,high_energy,force_rmse,12000,0.39408333333333334,0.0,0.016148818641705906,0.033410724596736475
raw,planar,energy_abs_error,12000,0.46108333333333335,0.0,0.00632476806640625,0.00884072226487721
raw,planar,force_rmse,12000,0.3865,0.0,0.021130492500189307,0.0352348789041614
single_point_removed,all,energy_abs_error,79999,0.46293078663483295,0.0,0.00565338134765625,0.007617578048575068
single_point_removed,all,force_rmse,79999,0.3892923661545769,0.0,0.020371130195653397,0.03339080645203268
single_point_removed,high_force,energy_abs_error,12000,0.46675,0.0,0.010562896728515625,0.013428657278884202
single_point_removed,high_force,force_rmse,12000,0.39766666666666667,0.0,0.045304185620927084,0.06735759051046739
single_point_removed,high_energy,energy_abs_error,11999,0.46962246853904493,0.0,0.004245758056640625,0.006296724684586753
single_point_removed,high_energy,force_rmse,11999,0.3940328360696725,0.0,0.016154252206044162,0.03701014310490027
single_point_removed,planar,energy_abs_error,11999,0.46103841986832234,0.0,0.00632476806640625,0.00898392380096707
single_point_removed,planar,force_rmse,11999,0.3864488707392283,0.0,0.02113801179517677,0.03883444943785294
