metric,descriptor,descriptor_label,top100_median,rest_of_test_median,baseline_error_matched_median,top100_median_percentile_in_test
energy_abs_error,target_energy,Target energy,-12.799127578735352,-5.811615467071533,-5.046961069107056,44.58805735071689
energy_abs_error,max_target_atomic_force,Maximum target atomic force,397.3525050204156,88.40941449634252,327.62774753101115,91.21364017050213
energy_abs_error,target_force_rms,Target force RMS,142.48756014441875,37.405234472023444,131.80226756405315,91.1711396392455
energy_abs_error,h_planarity_ratio,H-cloud planarity ratio,0.12813157022629856,0.1572063470429856,0.12349151054685514,41.359266990837384
energy_abs_error,ch_mean,Mean C-H distance,1.790431345042721,2.239799226510607,1.8612824872228815,7.6713458918236475
energy_abs_error,ch_min,Minimum C-H distance,0.8999232057340559,1.6133552563777176,0.9118705749429299,8.566357079463494
energy_abs_error,ch_max,Maximum C-H distance,2.612210696006045,2.7932531978379123,2.6909281538119383,24.344054300678756
energy_abs_error,ch_range,C-H distance range,1.6163916148376747,1.1093047382375152,1.6903201894257083,83.05478818485231
energy_abs_error,ch_cv,C-H radial coefficient of variation,0.3549552985775182,0.19595500472531535,0.36387265743941055,90.0486256078201
energy_abs_error,hch_min_deg,Minimum H-C-H angle,33.83315867066162,36.150021480079204,32.51010498578291,44.62180777259716
energy_abs_error,hch_max_deg,Maximum H-C-H angle,145.35204709029568,135.7209467017191,131.67415345197287,66.97208715108938
energy_abs_error,hch_mean_deg,Mean H-C-H angle (C-centered),90.77198108704252,90.24830342397438,81.75621126496426,51.24814060175752
energy_abs_error,hch_angle_rmse_tetra_deg,H-C-H angular distortion,47.96411088382595,42.22193836222495,47.18128813561573,73.03591294891186
energy_abs_error,chh_mean_deg,Mean C-H-H angle (H-centered),44.61400945647874,44.87584828801281,49.12189436751787,48.75185939824247
energy_abs_error,hhh_mean_deg,Mean H-H-H angle (H-centered),60.0,60.0,60.0,71.67964599557494
energy_abs_error,hydrogen_center_angle_mean_deg,Mean of all H-centered angles,52.30700472823938,52.437924144006395,54.56094718375894,48.75185939824247
energy_abs_error,all_atom_angle_mean_deg,Mean of all atom-centered angles,60.0,60.0,60.0,62.33577919723996
energy_abs_error,atom_center_mean_angle_std_deg,Variation among atom-centered mean angles,25.964960964155445,22.317063060399363,25.562604555919027,77.63597044963062
energy_abs_error,tetrahedral_asymmetry,Combined tetrahedral asymmetry,0.7965616559129998,0.743523240825469,0.8440251316639227,64.37205465068313
energy_abs_error,hh_min,Minimum H-H distance,1.199190456751594,1.536796121472899,1.2996852076112426,27.549094363679544
energy_abs_error,hh_max,Maximum H-H distance,3.499338617164671,4.230621502717922,3.562546984202343,16.561457018212728
energy_abs_error,h_tetra_volume,Hydrogen tetrahedron volume,0.36313202278222856,0.9206710416890941,0.31838297646085906,22.46778084726059
force_rmse,target_energy,Target energy,-2.707282155752182,-5.823606014251709,-3.0320624113082886,52.2681533519169
force_rmse,max_target_atomic_force,Maximum target atomic force,400.47855713039166,88.4047296733092,296.21413645998564,91.26239077988475
force_rmse,target_force_rms,Target force RMS,145.67689671778658,37.40396491329718,110.04788977968428,91.32239152989412
force_rmse,h_planarity_ratio,H-cloud planarity ratio,0.1325753953187964,0.1572011713622161,0.12898739880016474,42.75178439730497
force_rmse,ch_mean,Mean C-H distance,1.7900074030467121,2.239799226510607,1.8156683595844003,7.656345704321304
force_rmse,ch_min,Minimum C-H distance,0.9293328291913734,1.6132782507929415,0.9655102192538003,9.575119688996113
force_rmse,ch_max,Maximum C-H distance,2.587716171738186,2.7932775098760034,2.661666207272929,21.982774784684807
force_rmse,ch_range,C-H distance range,1.5200706585922683,1.1092954595813223,1.574644095634393,78.17972724659057
force_rmse,ch_cv,C-H radial coefficient of variation,0.34953878508809094,0.1959687580734557,0.32682589369798953,89.28611607645097
force_rmse,hch_min_deg,Minimum H-C-H angle,28.35059555030282,36.15431200336905,28.259334831990742,32.31290391129889
force_rmse,hch_max_deg,Maximum H-C-H angle,141.17696158886096,135.72575707441752,130.84270296637408,59.69324616557707
force_rmse,hch_mean_deg,Mean H-C-H angle (C-centered),90.86832296015473,90.24830342397438,79.18231275021131,51.5193939924249
force_rmse,hch_angle_rmse_tetra_deg,H-C-H angular distortion,45.551321797877804,42.22391976360344,48.65578674109844,64.20205252565657
force_rmse,chh_mean_deg,Mean C-H-H angle (H-centered),44.56583851992263,44.87584828801281,50.40884362489436,48.4806060075751
force_rmse,hhh_mean_deg,Mean H-H-H angle (H-centered),60.0,60.0,60.0,71.67964599557494
force_rmse,hydrogen_center_angle_mean_deg,Mean of all H-centered angles,52.282919259961325,52.437924144006395,55.20442181244718,48.4806060075751
force_rmse,all_atom_angle_mean_deg,Mean of all atom-centered angles,60.0,60.0,60.0,62.33577919723996
force_rmse,atom_center_mean_angle_std_deg,Variation among atom-centered mean angles,26.095396841526235,22.317336329729116,25.079709917900434,78.48723109038863
force_rmse,tetrahedral_asymmetry,Combined tetrahedral asymmetry,0.7731895406484296,0.7435533784478185,0.8570948048439898,58.13322666533332
force_rmse,hh_min,Minimum H-H distance,1.2313215575992211,1.5366438680798487,1.1389261851429198,29.609120114001424
force_rmse,hh_max,Maximum H-H distance,3.514500392913051,4.230613318371805,3.435942827145781,16.986462330779133
force_rmse,h_tetra_volume,Hydrogen tetrahedron volume,0.43845849994783426,0.9203153778311098,0.3478698410718515,26.716583957299466
