metric,architecture,seed,run_label,source_file,n_points,mean,sample_std,n_ge_outlier_sigma,n_ge_3std,n_ge_5std,n_ge_10std,worst_source_index,worst_error,worst_sigma
force_mae,L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,80000,0.6041831642617682,2.2197218485766372,343,113,26,7,7140304,570.8828290303549,256.9144626079054
force_mae,L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,80000,0.5900155144423305,1.223081324961448,1284,550,167,24,3937730,262.4850346883138,214.12723244885333
force_mae,L3N4,42,L3N4 s42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,80000,2.3786001279911937,492.2995631657765,1,1,1,1,3937730,139243.77760416668,282.83876205096425
force_mae,L3N4,101,L3N4 s101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,80000,0.5807663608315538,0.9437260879900847,2021,957,292,42,3937730,148.747536722819,157.00188036292175
force_mae,L3N4,202,L3N4 s202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,80000,0.6539855536744487,5.326287525721388,38,13,5,1,4707565,1487.761707560221,279.20154794969204
force_mae,L3N5,0,L3N5 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,80000,0.7222488466519684,0.960911105703023,2489,1205,415,53,7306805,64.86441561381022,66.75140539689204
force_mae,L3N5,1,L3N5 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,80000,0.604897708594813,0.7926970774021175,2876,1407,463,70,6266598,37.862176704406735,47.00065139373807
force_mae,L3N5,2,L3N5 s2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,80000,0.7000906752509899,1.401927933612531,1178,481,134,22,3937730,270.8245330174764,192.68069054459917
force_mae,L3N5,3,L3N5 s3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,80000,0.9543238453082751,92.9956463971765,3,3,2,2,3937730,26224.474267578124,281.98653334516746
force_mae,L3N5,4,L3N5 s4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,80000,0.5974813308890118,0.8508465580341565,2490,1210,395,68,7306805,56.4520009358724,65.64581954005055
force_mae,L3N5,7,L3N5 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,80000,0.6349262734162018,2.142844427526728,430,144,40,7,3937730,557.8874362945556,260.05271444942014
