metric,source_index,architecture,seed,run_label,error,run_mean,run_sample_std,std_above_run_mean,is_ge_outlier_sigma
force_mae,3937730,L3N4,0,L3N4 s0,11.180817397435506,0.582884143878776,0.8055986490160479,13.155351323516946,True
force_mae,3937730,L3N4,1,L3N4 s1,1.344827556610107,0.6041831642617682,2.2197218485766372,0.3336654062414468,False
force_mae,3937730,L3N4,7,L3N4 s7,262.4850346883138,0.5900155144423305,1.223081324961448,214.12723244885333,True
force_mae,3937730,L3N4,42,L3N4 s42,139243.77760416668,2.3786001279911937,492.2995631657765,282.83876205096425,True
force_mae,3937730,L3N4,101,L3N4 s101,148.747536722819,0.5807663608315538,0.9437260879900847,157.00188036292175,True
force_mae,3937730,L3N4,202,L3N4 s202,1.912268829345703,0.6539855536744487,5.326287525721388,0.23624020851199418,False
force_mae,3937730,L3N5,0,L3N5 s0,46.143373775482175,0.7222488466519684,0.960911105703023,47.26881046462581,True
force_mae,3937730,L3N5,1,L3N5 s1,3.2251123070716856,0.604897708594813,0.7926970774021175,3.3054424863833534,True
force_mae,3937730,L3N5,2,L3N5 s2,270.8245330174764,0.7000906752509899,1.401927933612531,192.68069054459917,True
force_mae,3937730,L3N5,3,L3N5 s3,26224.474267578124,0.9543238453082751,92.9956463971765,281.98653334516746,True
force_mae,3937730,L3N5,4,L3N5 s4,45.98550796508789,0.5974813308890118,0.8508465580341565,53.34454985522409,True
force_mae,3937730,L3N5,7,L3N5 s7,557.8874362945556,0.6349262734162018,2.142844427526728,260.05271444942014,True
force_mae,3937730,L3N5,42,L3N5 s42,13.715319124857585,0.6043628579591266,0.8174316522323556,16.039207964474148,True
force_mae,3937730,L3N5,1776,L3N5 s1776,0.7519705494244894,0.653152918197432,8.15478215671311,0.012117752421590997,False
force_mae,3937730,L4N3,7,L4N3 s7,0.8866013904412587,0.6039136420403755,0.8098434971357961,0.34906466422299576,False
force_mae,3937730,L4N3,42,L4N3 s42,0.2652906566858292,0.6298982761745554,1.4334129704384087,-0.25436327632588057,False
force_mae,3937730,L4N3,101,L4N3 s101,69.58984718322753,0.6427452117045079,0.8778280344541138,78.54283443385181,True
force_mae,3937730,L4N3,202,L4N3 s202,0.7516918877760569,0.6214379529677566,0.9268021611690631,0.14054125062030356,False
force_mae,3937730,L4N3,303,L4N3 s303,1.4607705374558766,0.6292387607715947,0.834900009313988,0.99596570536336,False
force_mae,3937730,L4N3,1776,L4N3 s1776,0.7883328149095178,0.6139854113521747,0.9403830321703833,0.18540041407909408,False
force_mae,3937730,L4N4,0,L4N4 s0,6.976073710123698,0.5445171628077453,0.7618457140108997,8.442072231995173,True
