metric,source_index,architecture,seed,run_label,error,run_mean,run_sample_std,std_above_run_mean,is_ge_outlier_sigma
abs_energy_error,3937730,L3N4,0,L3N4 s0,0.7044143676757812,0.1997303498080699,0.2806366299242564,1.7983540423925597,False
abs_energy_error,3937730,L3N4,1,L3N4 s1,0.396026611328125,0.20599446008317174,0.2949561794406318,0.6442724868668248,False
abs_energy_error,3937730,L3N4,7,L3N4 s7,28.87258529663086,0.20470212453629938,0.30088395537312074,95.2788696776604,True
abs_energy_error,3937730,L3N4,42,L3N4 s42,2850.048095703125,0.265648224465159,10.080732926707148,282.695957545771,True
abs_energy_error,3937730,L3N4,101,L3N4 s101,8.377204895019531,0.19947978295959182,0.28335871310257266,28.859974067921797,True
abs_energy_error,3937730,L3N4,202,L3N4 s202,0.175201416015625,0.23565154646359734,1.184069195510051,-0.05105286977923007,False
abs_energy_error,3937730,L3N5,0,L3N5 s0,4.329582214355469,0.27910872991609503,0.36418024682675726,11.122166893269775,True
abs_energy_error,3937730,L3N5,1,L3N5 s1,0.2813720703125,0.20622627334078425,0.2853231740266558,0.2633708153151815,False
abs_energy_error,3937730,L3N5,2,L3N5 s2,16.674484252929688,0.2711846569232875,0.3596966094728214,45.60315322417802,True
abs_energy_error,3937730,L3N5,3,L3N5 s3,742.6024780273438,0.21322648383491905,2.6399977202385,281.2082926633894,True
abs_energy_error,3937730,L3N5,4,L3N5 s4,0.0118255615234375,0.2038352158157795,0.2931835987286264,-0.6549126728950073,False
abs_energy_error,3937730,L3N5,7,L3N5 s7,96.79352569580078,0.21562233584981877,0.4545444467777628,212.47185846089573,True
abs_energy_error,3937730,L3N5,42,L3N5 s42,1.3331680297851562,0.2081716774016153,0.28944413527122254,3.8867477875458327,True
abs_energy_error,3937730,L3N5,1776,L3N5 s1776,0.053619384765625,0.21555212002652696,0.3658846474755826,-0.4425786552624037,False
abs_energy_error,3937730,L4N3,7,L4N3 s7,0.1781692504882812,0.20703997271741972,0.2962906576587127,-0.09744054185601002,False
abs_energy_error,3937730,L4N3,42,L4N3 s42,0.0043487548828125,0.21443938535493218,0.29780571820573154,-0.7054620433009412,False
abs_energy_error,3937730,L4N3,101,L4N3 s101,5.521400451660156,0.2188547617257631,0.3064262554889219,17.30447569342208,True
abs_energy_error,3937730,L4N3,202,L4N3 s202,0.1321334838867187,0.21289867895157077,0.36873983530476245,-0.21903029543336394,False
abs_energy_error,3937730,L4N3,303,L4N3 s303,0.5528793334960938,0.21497051230372163,0.30262715640676385,1.1165845960571557,False
abs_energy_error,3937730,L4N3,1776,L4N3 s1776,0.2489852905273437,0.20889746330198833,0.2988562265460486,0.13413750045853076,False
abs_energy_error,3937730,L4N4,0,L4N4 s0,0.2619857788085937,0.183090003550495,0.2584556041364583,0.3052585202077631,False
abs_energy_error,3937730,L4N4,7,L4N4 s7,0.10968017578125,0.18390466804380995,0.2669865535328786,-0.2780083539054315,False
abs_energy_error,3937730,L4N4,42,L4N4 s42,12.028327941894531,0.18831727622949984,0.2736557746567752,43.266072789858065,True
abs_energy_error,3937730,L4N4,1776,L4N4 s1776,89.88688659667969,0.18196098293097457,0.4122309731652796,217.60840755112906,True
abs_energy_error,4707565,L3N4,0,L3N4 s0,2.880126953125,0.1997303498080699,0.2806366299242564,9.551128817504567,True
abs_energy_error,4707565,L3N4,1,L3N4 s1,1.64385986328125,0.20599446008317174,0.2949561794406318,4.874844141000575,True
abs_energy_error,4707565,L3N4,7,L3N4 s7,2.7386474609375,0.20470212453629938,0.30088395537312074,8.421669853611506,True
abs_energy_error,4707565,L3N4,42,L3N4 s42,2.6466064453125,0.265648224465159,10.080732926707148,0.23618899916884084,False
abs_energy_error,4707565,L3N4,101,L3N4 s101,1.8402099609375,0.19947978295959182,0.28335871310257266,5.790293723503686,True
abs_energy_error,4707565,L3N4,202,L3N4 s202,323.4248046875,0.23565154646359734,1.184069195510051,272.9478601137149,True
abs_energy_error,4707565,L3N5,0,L3N5 s0,3.9302978515625,0.27910872991609503,0.36418024682675726,10.025774746051226,True
abs_energy_error,4707565,L3N5,1,L3N5 s1,0.5023193359375,0.20622627334078425,0.2853231740266558,1.0377462805353967,False
abs_energy_error,4707565,L3N5,2,L3N5 s2,1.8841552734375,0.2711846569232875,0.3596966094728214,4.4842530455825385,True
abs_energy_error,4707565,L3N5,3,L3N5 s3,1.51727294921875,0.21322648383491905,2.6399977202385,0.4939574210185387,False
abs_energy_error,4707565,L3N5,4,L3N5 s4,0.7236328125,0.2038352158157795,0.2931835987286264,1.772942275551199,False
abs_energy_error,4707565,L3N5,7,L3N5 s7,1.552734375,0.21562233584981877,0.4545444467777628,2.9416530080366945,True
abs_energy_error,4707565,L3N5,42,L3N5 s42,0.8612060546875,0.2081716774016153,0.28944413527122254,2.256167245102276,True
