architecture,seed,run_label,source_file,metric,raw,filtered,n_total,n_shared_hard,n_diagnostic_filtered,n_filtered,filtered_fraction
L3N5,0,L3N5 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,0.7222488466519684,0.7216810754932185,80000,1,0,1,1.25e-05
L3N5,0,L3N5 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_rmse,1.578732560834111,1.559587651667126,80000,1,0,1,1.25e-05
L3N5,1,L3N5 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,energy_mae,0.20622627334078425,0.2062253340065804,80000,1,0,1,1.25e-05
L3N5,1,L3N5 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,energy_mse,0.12393757183625269,0.1239381314348712,80000,1,0,1,1.25e-05
L3N5,1,L3N5 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,0.604897708594813,0.6048649555029184,80000,1,0,1,1.25e-05
L3N5,1,L3N5 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_rmse,1.2933777045529307,1.2932691320671317,80000,1,0,1,1.25e-05
L3N5,2,L3N5 s2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,energy_mae,0.2711846569232875,0.27097961311528984,80000,1,0,1,1.25e-05
L3N5,2,L3N5 s2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,energy_mse,0.20292115174620873,0.19944816453450043,80000,1,0,1,1.25e-05
L3N5,2,L3N5 s2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,0.7000906752509899,0.6951600023497876,80000,1,1,2,2.5e-05
L3N5,2,L3N5 s2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_rmse,2.1983157814365977,1.5103077502959754,80000,1,1,2,2.5e-05
L3N5,3,L3N5 s3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,energy_mae,0.21322648383491905,0.20394650219085464,80000,1,0,1,1.25e-05
L3N5,3,L3N5 s3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,energy_mse,7.014966376423548,0.12173739348657052,80000,1,0,1,1.25e-05
L3N5,3,L3N5 s3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,0.9543238453082751,0.5967284759097814,80000,1,2,3,3.75e-05
L3N5,3,L3N5 s3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_rmse,150.9771921369102,1.3116063493814423,80000,1,2,3,3.75e-05
L3N5,4,L3N5 s4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,energy_mae,0.2038352158157795,0.20383761596646005,80000,1,0,1,1.25e-05
L3N5,4,L3N5 s4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,energy_mse,0.12750434331235164,0.12750593538849514,80000,1,0,1,1.25e-05
L3N5,4,L3N5 s4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,force_mae,0.5974813308890118,0.5969139734641163,80000,1,0,1,1.25e-05
L3N5,4,L3N5 s4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,force_rmse,1.3610072700351439,1.342844364055362,80000,1,0,1,1.25e-05
L3N5,7,L3N5 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,energy_mae,0.21562233584981877,0.21441509696733335,80000,1,0,1,1.25e-05
L3N5,7,L3N5 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,energy_mse,0.2531010631806582,0.13599043035324207,80000,1,0,1,1.25e-05
L3N5,7,L3N5 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,force_mae,0.6349262734162018,0.6279605299691444,80000,1,0,1,1.25e-05
L3N5,7,L3N5 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,force_rmse,2.8352816844427586,1.3700635174296512,80000,1,0,1,1.25e-05
L3N5,42,L3N5 s42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,energy_mae,0.2081716774016153,0.20815761477142763,80000,1,0,1,1.25e-05
L3N5,42,L3N5 s42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,energy_mse,0.12711230749126493,0.12709167942481223,80000,1,0,1,1.25e-05
