architecture,n_values,energy_mae,energy_rmse,energy_error_sample_std
L3N4,478230,0.2037662591990355,0.3279832925294376,0.3279832505602914
L3N5,637434,0.21512826401367613,0.3353935397549678,0.33539369406375985
L4N3,477486,0.2005189142918885,0.3097078483761405,0.3097006990301295
L4N4,318510,0.17391827390848955,0.2720472984660286,0.2720474427419101
