group,metric,n_values,mean,sample_std,median,q1,q3,min,max
L3N4,energy_abs_error,478230,0.2037662591990355,0.2570067896168284,0.1227531433105468,0.0534744262695312,0.254371166229248,0.0,11.28863525390625
L3N5,energy_abs_error,637434,0.21512826401367613,0.2573106301719026,0.13156366348266602,0.0566635131835937,0.2724075317382812,0.0,10.285888671875
L4N3,energy_abs_error,477486,0.2005189142918885,0.2360322711688826,0.1214861869812011,0.0525588989257812,0.2537384033203125,0.0,2.0560264587402344
L4N4,energy_abs_error,318510,0.17391827390848955,0.20919441675224185,0.10446071624755855,0.0454330444335937,0.2179794311523437,0.0,2.2427978515625
