run,sweep_task_id,seed,hiphop_l_max,hiphop_n_max,data_size,total_params,run_dir,checkpoint_path,checkpoint_kind_requested,checkpoint_file_used,checkpoint_target_epoch,eval_batch_size,test_indices_path,test_set_size,per_point_csv,per_point_npz,checkpoint_epoch_count,best_valid_T-RMSE,best_valid_T-MAE,best_valid_F-RMSE,best_valid_F-MAE,test_T-RMSE,test_T-MAE,test_T-RSQ,test_F-RMSE,test_F-MAE,test_F-RSQ,test_Error Loss,test_L2,test_Loss,status
task 0: l=3 n=4 d=1000000,0,0,3,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed0-lightning_ddp_a100_4gpu_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed0-lightning_ddp_a100_4gpu_fresh/lightning_checkpoints/best-epoch=4852-valid_T-MAE=0.20032597.ckpt,best,best-epoch=4852-valid_T-MAE=0.20032597.ckpt,,128,,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed0_task0_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed0_task0_per_point.npz,4853,0.3408884108066559,0.20032596588134766,1.2319672107696533,0.5846668481826782,0.3433555440192621,0.2009670150803402,,1.2204422601111622,0.5804997194847399,,,,,ok
task 1: l=3 n=4 d=1000000,1,1,3,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed1-lightning_ddp_a100x2,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed1-lightning_ddp_a100x2/lightning_checkpoints/best-epoch=2336-valid_T-MAE=0.20517538.ckpt,best,best-epoch=2336-valid_T-MAE=0.20517538.ckpt,,256,,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed1_task1_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed1_task1_per_point.npz,2337,0.3554494082927704,0.20517538487911224,1.2906326055526733,0.5948137044906616,0.3434180015692654,0.2053349207470077,,1.2422526569422014,0.5931283770960377,,,,,ok
task 2: l=3 n=4 d=1000000,2,7,3,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed7-b256_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed7-b256_fresh/best_checkpoint.pt,best,best_checkpoint.pt,,512,,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed7_task2_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed7_task2_per_point.npz,3368,0.3428761065006256,0.20146603882312775,1.2324858903884888,0.5886837244033813,0.34445959614045124,0.2049643883640645,,1.231053707973195,0.5848051809151827,,,,,ok
task 3: l=3 n=4 d=1000000,3,42,3,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed42-lightning_ddp_v100,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed42-lightning_ddp_v100/lightning_checkpoints/best-epoch=2376-valid_T-MAE=0.23009588.ckpt,best,best-epoch=2376-valid_T-MAE=0.23009588.ckpt,,128,,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed42_task3_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed42_task3_per_point.npz,2377,0.38688817620277405,0.23009587824344635,1.3420701026916504,0.6371334195137024,7.464309525124084,0.2574652364567854,,62.7178559246079,0.7964494822334898,,,,,ok
task 4: l=3 n=4 d=1000000,4,101,3,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed101-lightning_ddp_a100_2gpu_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed101-lightning_ddp_a100_2gpu_fresh/lightning_checkpoints/best-epoch=3607-valid_T-MAE=0.20051099.ckpt,best,best-epoch=3607-valid_T-MAE=0.20051099.ckpt,,256,,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed101_task4_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed101_task4_per_point.npz,3608,0.34507694840431213,0.20051099359989166,1.2223533391952515,0.5791696906089783,0.37370815898620635,0.2000122793640243,,8.742804181016368,0.605274144565375,,,,,ok
task 5: l=3 n=4 d=1000000,5,202,3,4,1000000,,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed202-cn2_2gpu_lightning_fresh,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/TEST_METHANE_MODEL_l3_n4_d1000000_seed202-cn2_2gpu_lightning_fresh/lightning_checkpoints/best-epoch=1906-valid_T-MAE=0.23191726.ckpt,best,best-epoch=1906-valid_T-MAE=0.23191726.ckpt,,256,,80000,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed202_task5_per_point.csv,/vast/home/logan_bolton/Github/hippynn-optimizations-expanded/examples/methane_sweep/results/per_point/sequential_plus_80k/l3_n4_d1000000_seed202_task5_per_point.npz,1907,0.38758838176727295,0.23191726207733154,1.336384892463684,0.6361904740333557,0.38743072056242467,0.2316355145253241,,1.330197317315279,0.6337957223559544,,,,,ok
