run_label,architecture,seed,source_file,metric_column,n_csv_rows,n_usable_raw,n_retained,n_removed,removed_fraction,raw_mean,raw_sample_std,raw_median,raw_q1,raw_q3,raw_min,raw_max,retained_mean,retained_sample_std,retained_median,retained_q1,retained_q3,retained_min,retained_max
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.7487737191471382,1.062059810771518,0.4422602070916756,0.25246691535089133,0.8444141193051773,0.0378955904261295,66.2939031846871,0.7487737191471382,1.062059810771518,0.4422602070916756,0.25246691535089133,0.8444141193051773,0.0378955904261295,66.2939031846871
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.7759377503699537,2.727832319847768,0.46174658313555883,0.26232155328294793,0.875146267033887,0.0420481739969394,687.9956930235953,0.7759377503699537,2.727832319847768,0.46174658313555883,0.26232155328294793,0.875146267033887,0.0420481739969394,687.9956930235953
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.7593240561979255,1.803635935018513,0.44809821629281166,0.2579670233283039,0.849870530138641,0.0345879178321444,414.7748789531857,0.7593240561979255,1.803635935018513,0.44809821629281166,0.2579670233283039,0.849870530138641,0.0345879178321444,414.7748789531857
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,force_rmse,80000,80000,80000,0,0.0,3.06855626350397,635.9190477885116,0.5007594347687033,0.2870342827402083,0.9358561718373005,0.0307451595072493,179865.61295243155,3.06855626350397,635.9190477885116,0.5007594347687033,0.2870342827402083,0.9358561718373005,0.0307451595072493,179865.61295243155
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.7459622809873312,1.2523542465365345,0.44426538204130056,0.25398523239096654,0.8398174715399348,0.0301829000412802,201.27902566320157,0.7459622809873312,1.2523542465365345,0.44426538204130056,0.25398523239096654,0.8398174715399348,0.0301829000412802,201.27902566320157
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.8431210359313008,7.652568671926223,0.4947098512358462,0.2892351624970767,0.9278181694668655,0.0373099997378032,2142.209005199933,0.8431210359313008,7.652568671926223,0.4947098512358462,0.2892351624970767,0.9278181694668655,0.0373099997378032,2142.209005199933
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.9302972736635371,1.2755249187294415,0.5771007730603925,0.34369264898106605,1.0589015784053064,0.0537600370197156,95.44022227315418,0.9302972736635371,1.2755249187294415,0.5771007730603925,0.34369264898106605,1.0589015784053064,0.0537600370197156,95.44022227315418
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.77667101360709,1.0342250207399561,0.4666982153464704,0.26958467000956987,0.8824576987659734,0.0403030294232967,57.83772347096794,0.77667101360709,1.0342250207399561,0.4666982153464704,0.26958467000956987,0.8824576987659734,0.0403030294232967,57.83772347096794
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.8995919849183872,2.005835693119988,0.5550340407042336,0.33036899730109653,1.0205430249241796,0.0516063748611255,411.6749673806163,0.8995919849183872,2.005835693119988,0.5550340407042336,0.33036899730109653,1.0205430249241796,0.0516063748611255,411.6749673806163
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_rmse,80000,80000,80000,0,0.0,1.3426306001985093,150.97216563344338,0.45905638042901115,0.2643446409352009,0.8743112911740627,0.0310329936552001,42601.954277033605,1.3426306001985093,150.97216563344338,0.45905638042901115,0.2643446409352009,0.8743112911740627,0.0310329936552001,42601.954277033605
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.767989277423989,1.1236320753312905,0.4576406961231181,0.26172438054193364,0.868740659891615,0.0257475304670313,77.08779415843115,0.767989277423989,1.1236320753312905,0.4576406961231181,0.26172438054193364,0.868740659891615,0.0257475304670313,77.08779415843115
L3N5 seed 7,L3N5,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.8156407186690648,2.715445565417085,0.4845574394936819,0.2779150420772436,0.9160634799268684,0.0346462300039816,702.0980929625365,0.8156407186690648,2.715445565417085,0.4845574394936819,0.2779150420772436,0.9160634799268684,0.0346462300039816,702.0980929625365
L3N5 seed 42,L3N5,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.7763728265238862,1.0743564989113195,0.46635185551241853,0.26571661417012254,0.882700700532155,0.0400209465237158,66.37575037305601,0.7763728265238862,1.0743564989113195,0.46635185551241853,0.26571661417012254,0.882700700532155,0.0400209465237158,66.37575037305601
L3N5 seed 1776,L3N5,1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.8445330250675972,11.79982220048153,0.47802224752097056,0.2750988497693028,0.9047793565305785,0.0298951273978228,3185.393615054313,0.8445330250675972,11.79982220048153,0.47802224752097056,0.2750988497693028,0.9047793565305785,0.0298951273978228,3185.393615054313
L4N3 seed 7,L4N3,7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.7753723255357129,1.0564935853803457,0.460930001745545,0.2633491990983282,0.8830272659567238,0.0288212454021648,50.09047381752151,0.7753723255357129,1.0564935853803457,0.460930001745545,0.2633491990983282,0.8830272659567238,0.0288212454021648,50.09047381752151
L4N3 seed 42,L4N3,42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,force_rmse,80000,80000,80000,0,0.0,0.809886800124928,2.047969306208862,0.48202373321470715,0.27628939036870914,0.9150266467363962,0.0365534372707093,486.9633026656726,0.809886800124928,2.047969306208862,0.48202373321470715,0.27628939036870914,0.9150266467363962,0.0365534372707093,486.9633026656726
